Flag,Nombre,Direcciones,MAC,Tips,Mapas,Servicios caidos,Notas
activo,Switch Calvario,10.4.9.11,DC:9F:DB:80:BE:99,Sw Ubiquiti 8,Calvario..,,
activo,Calvario - Circuito,10.255.5.27,04:18:D6:A4:55:F7,PTP Ubiquiti 30d,Calvario..,,
activo,Base 4.1,10.4.11.10,BreezeCom:C4:E9:B0,Sectorial alvarion EZ,Calvario..,,
activo,Base 4.2,10.4.12.10,00:27:22:80:25:3D,Sectorial Ubiquiti,Calvario..,,
activo,Calvario - Sancti,10.255.4.6,04:18:D6:A4:3F:E8,PTP Ubiquiti 30d,Calvario..,,
activo,Sancty - Calvario,10.255.4.5,04:18:D6:A4:56:30,PTP Ubiquiti 5AC,Sancty,,
activo,Base 5.1 (EZ desmontar. Sin clientes),10.5.1.10,BreezeCom:84:44:DB,Omni alvarion,Circuito,,
activo,Base 5.2,10.5.12.10,00:27:22:9E:99:87,Sectorial Ubiquiti,Circuito,,
activo,Base 5.3,10.5.13.10,24:A4:3C:46:8B:1A,Sectorial Ubiquiti,Circuito,,
activo,Base 5.4,10.5.14.10,00:27:22:9E:99:A4,Sectorial Ubiquiti,Circuito,,
activo,Circuito - Cuesta Blanca,10.255.5.61,04:18:D6:A4:3E:5C,PTP Ubiquiti 5AC,Circuito,,
activo,Base 6.2,10.6.12.10,00:27:22:9E:99:84,Sectorial Ubiquiti,La Hita,,
activo,Base 6.3,10.6.13.10,00:27:22:9E:99:35,Sectorial Ubiquiti,La Hita,,
activo,Base 6.4,10.6.14.10,DC:9F:DB:04:0C:91,Sectorial Ubiquiti,La Hita,,
activo,La Hita - Villar Alto,10.6.39.220,PipingHotN:30:22:10,PTP800,La Hita,,La Hita - Villar Alto     200  /  100
activo,La Hita - Navarro,10.255.6.2,02:27:22:DA:59:10,airFiber,La Hita,,
activo,C.Blanca - C. Velocidad,10.255.5.58,04:18:D6:AE:AC:31,PTP Ubiquiti 5AC,C. Blanca,,
activo,Base 9.2,10.9.12.10,DC:9F:DB:0A:0C:AD,Sectorial Ubiquiti,C. Blanca,,Orientado 120º dirección SE
activo,Base 9.3,10.9.13.10,DC:9F:DB:0A:0C:9F,Sectorial Ubiquiti,C. Blanca,,Orientado 120º dirección SW
activo,Base 9.4,10.9.14.10,DC:9F:DB:0A:0B:12,Sectorial Ubiquiti,C. Blanca,,Orientado 120º Dirección S
activo,SW PTP Sancti,10.255.2.34,DC:9F:DB:29:B8:6B,Sw Ubiquiti 8,Sancty,,
activo,Base 2.1,10.2.21.10,24:A4:3C:46:D4:B0,Sectorial Ubiquiti,Sancty,,
activo,Base 2.3,10.2.23.10,DC:9F:DB:04:0C:33,Sectorial Ubiquiti,Sancty,,
activo,Villar Alto - La Hita,10.22.5.22,PipingHotN:30:24:A3,PTP800,Villaralto,,150425   Villar Alto - La Hita  l    200  /  100
activo,SW2 Villaralto,10.22.5.11,24:A4:3C:3C:FC:07,Sw Ubiquiti 8,Villaralto,,
activo,Base 22.1,10.22.11.10,00:27:22:9E:99:A5,Sectorial Ubiquiti,Villaralto,,
activo,Base 22.2,10.22.12.10,00:27:22:9E:98:79,Sectorial Ubiquiti,Villaralto,,
activo,Base 22.3,10.22.13.10,00:27:22:9E:99:86,Sectorial Ubiquiti,Villaralto,,
activo,Villar Alto - Arteco,10.255.22.3,02:27:22:DA:5D:B8,airFiber,Villaralto,,
activo,Navarro - La Hita,10.255.6.3,02:27:22:DA:58:50,airFiber,Navarro,,
activo,Base 16.2,10.16.12.10,DC:9F:DB:02:68:53,Sectorial Ubiquiti,Carrasq,,
activo,Base 16.3,10.16.12.10,DC:9F:DB:02:68:53,Sectorial Ubiquiti,Carrasq,,
activo,Navarro 2,10.17.1.12,DC:9F:DB:29:4D:E9,Sw Ubiquiti 8,Navarro,,
activo,Base 17.1,10.17.21.11,24:A4:3C:46:C8:1A,Omni Ubiquiti,Navarro,,
activo,Base 17.2,10.17.22.10,00:27:22:90:6A:83,Sectorial Ubiquiti,Navarro,,
activo,Base 17.3,10.17.23.10,00:27:22:80:27:36,Sectorial Ubiquiti,Navarro,,
activo,Base 17.4,10.17.24.10,00:27:22:04:E7:76,Sectorial Ubiquiti,Navarro,,
activo,Navarro - Las Claras,10.17.13.11,UbiquitiNe:8E:E5:77,PTP Ubiquiti 30d,Navarro,,
activo,La Hita - G.Soto,10.6.24.12,DC:9F:DB:68:AC:4D,PTP Ubiquiti 30d,La Hita,,SSID: C6-9GS
activo,G.Soto - La Hita,10.6.24.11,DC:9F:DB:02:66:CB,PTP Ubiquiti 30d,La Hita,,
activo,Calvario - Radio Taxi,10.255.4.18,04:18:D6:A4:58:F4,PTP Ubiquiti 5AC,Calvario..,,
activo,Radio Taxi - Calvario,10.255.4.19,04:18:D6:A4:40:87,PTP Ubiquiti 5AC,Beaza,,
activo,Aljorra - Pesetos,10.255.101.6,04:18:D6:A4:4B:C4,PTP Ubiquiti 5AC,La Aljorra,,
activo,RondaSol - Calvario,10.255.4.69,04:18:D6:A4:56:34,PTP Ubiquiti 5AC,Calvario..,,
activo,Central - Valero,169.254.1.80,02:27:22:DA:3D:5E,airFiber,Central ...,,SSID: C1-C8
activo,Central - Alfonso,169.254.1.110,02:27:22:DA:5C:9A,airFiber,Central ...,,SSID: C1-C11
activo,Valero - Central,169.254.2.80,02:27:22:DA:3D:09,airFiber,Valero,,Switch Valero 1 Puerto 2
activo,Switch Valero 1,10.8.2.11,DC:9F:DB:28:A9:4B,Sw Ubiquiti 8,Valero,,
activo,Base 8.1,10.8.1.10,BreezeCom:84:86:5D,Omni alvarion,Valero,,Switch2 Puerto2
activo,Base 8.2,10.8.12.10,DC:9F:DB:68:AC:3A,Sectorial Ubiquiti,Valero,,Switch2 Puerto3
activo,Base 8.3,10.8.13.10,DC:9F:DB:68:AF:E9,Sectorial Ubiquiti,Valero,,Switch2 Puerto4
activo,Base 8.4,10.8.14.10,DC:9F:DB:6A:24:C9,Sectorial Ubiquiti,Valero,,Switch2 Puerto5
activo,Valero - Camachos Novo,10.255.8.2,DC:9F:DB:68:B9:14,PTP Ubiquiti 30d,Valero,,Switch Valero 1 Puerto 1
activo,Camachos - V.Valero,10.255.8.3,DC:9F:DB:02:67:94,NanoBridge M5 oeste,Camachos,,
activo,Alfonso - Central,169.254.2.110,02:27:22:DA:59:6C,airFiber,Pozo E.,,
activo,Switch Alfonso1,10.11.38.11,04:18:D6:07:FE:DC,Sw Ubiquiti 8,Pozo E.,,
desconocido,Base11 0 Omni,10.11.23.13,00:27:22:C2:A4:77,Omni alvarion,Pozo E.,,
activo,Base 11.2,10.11.14.10,00:27:22:80:26:17,Sectorial Ubiquiti,Pozo E.,,
activo,Villar Alto - Agromediterranea,10.255.22.99,02:27:22:DA:8A:5F,airFiber,Villaralto,,
activo,Arteco - Villar Alto,10.255.22.4,02:27:22:DA:4A:30,airFiber,Arteco,,
activo,Base 14.1,10.14.1.10,BreezeCom:84:28:CE,Omni Ubiquiti,Arteco,,
activo,Valero - Santa Ana,10.8.3.2,24:A4:3C:46:8C:10,PTP Ubiquiti 30d,Valero,,Switch 1 Puerto 6
activo,Santa Ana - Valero,10.8.3.4,00:27:22:3E:AD:B2,PTP Ubiquiti 30d,Valero,,
activo,Agromed - V.Alto,10.255.22.98,02:27:22:DA:8B:13,airFiber,Agromed,,5520 Mhz
activo,Base 22.9,10.229.11.10,DC:9F:DB:04:0C:F2,Sectorial Ubiquiti,Agromed,,5865 Mhz
activo,Base 22.8,10.229.12.10,24:A4:3C:9A:C5:90,Sectorial Ubiquiti,Agromed,,5650 Mhz
activo,Base 22.7,10.229.13.10,DC:9F:DB:04:0D:19,Sectorial Ubiquiti,Agromed,,5765 Mhz
activo,Base 11.3,10.11.15.10,00:27:22:80:22:C3,Sectorial Ubiquiti,Pozo E.,,
activo,Base 11.4,10.11.16.10,00:27:22:9A:CE:4C,Sectorial Ubiquiti,Pozo E.,,
activo,Base 14.2,10.14.12.10,DC:9F:DB:0A:0A:70,Sectorial Ubiquiti,Arteco,,
activo,Base 14.3,10.14.13.10,DC:9F:DB:0A:0A:C5,Sectorial Ubiquiti,Arteco,,
activo,Base 14.4,10.14.14.10,DC:9F:DB:0A:0A:8B,Sectorial Ubiquiti,Arteco,,
activo,Perin - Circuito,10.255.5.35,04:18:D6:40:DF:D5,NanoBridge M5 este,Perin,,
activo,Base 9.7,10.9.7.10,DC:9F:DB:0A:08:EA,Sectorial Ubiquiti,Perin,,Orientado 120º N
activo,Base 9.8,10.9.8.10,DC:9F:DB:0A:0A:CB,Sectorial Ubiquiti,Perin,,Orientado 120º SW
activo,Base 9.9,10.9.9.10,DC:9F:DB:0A:09:AB,Sectorial Ubiquiti,Perin,,Orientado 120º SE
activo,Base 101 1,10.101.22.10,68:72:51:06:C9:69,Sectorial Ubiquiti,Pesetos,,
activo,Switch Pesetos,10.101.10.253,04:18:D6:07:49:E4,Sw Ubiquiti 8,Pesetos,,
activo,Base 101 2,10.101.23.10,68:72:51:06:CB:E3,Sectorial Ubiquiti,Pesetos,,
activo,Base 101 3,10.101.24.10,24:A4:3C:78:F1:04,Sectorial Ubiquiti,Pesetos,,
activo,Base 20 1,10.8.36.10,00:27:22:80:26:11,Omni Ubiquiti,Valero,,
activo,Circuito - Perin,10.255.5.34,04:18:D6:26:0B:D4,PTP Ubiquiti 30d,Circuito,,
activo,Calvario - Rondasol,10.255.4.70,04:18:D6:A4:55:83,PTP Ubiquiti 5AC,Calvario..,,
activo,Base 12.1,10.120.11.10,24:A4:3C:A8:78:2D,Sectorial Ubiquiti,Camachos,,
activo,Base 12.2,10.120.12.10,24:A4:3C:A8:78:8F,Sectorial Ubiquiti,Camachos,,
activo,Base 12.3,10.120.13.10,24:A4:3C:A8:78:55,Sectorial Ubiquiti,Camachos,,
activo,Hortichuela - Los Infiernos,10.255.13.4,04:18:D6:AE:AA:41,PTP Ubiquiti 5AC,Hortich,,5750 Mhz
activo,Base 13.1,10.13.1.10,BreezeCom:84:86:56,Omni alvarion,Hortich,,
activo,Base 13.2,10.13.12.10,00:27:22:48:99:7D,Sectorial Ubiquiti,Hortich,,"5710 Mhz, Mira hacia Pacheco, El Pasico."
activo,Base 13.3,10.13.13.10,00:27:22:80:27:C7,Sectorial Ubiquiti,Hortich,,"5770 Mhz, Mira hacia Jimenado, Jurosa, etc"
activo,Base 13.4,10.13.14.10,00:27:22:80:26:F8,Sectorial Ubiquiti,Hortich,,5790 Mhz
activo,Base 2.4,10.2.12.10,DC:9F:DB:0A:0C:D8,Sectorial Ubiquiti,Sancty,,
activo,Base 2.5,10.2.13.10,DC:9F:DB:36:4E:4F,Sectorial Ubiquiti,Sancty,,
activo,Infiernos - Hortichuela,10.255.13.5,04:18:D6:A4:28:4F,PTP Ubiquiti 5AC,Infiernos,,
activo,Switch1,10.21.4.11,24:A4:3C:3D:60:E2,Sw Ubiquiti 8,Infiernos,,"Telefono oficina Abonos Los Triviños 968580097 contacto Domingo, Instalada estación base sin bateria especial solo sai."
activo,Base 21.1,10.21.1.10,BreezeCom:84:86:5E,Omni Ubiquiti,Infiernos,,
activo,Base 21.2,10.21.12.10,DC:9F:DB:36:4E:22,Sectorial Ubiquiti,Infiernos,,
activo,Base 21.3,10.21.13.10,DC:9F:DB:36:4E:B0,Sectorial Ubiquiti,Infiernos,,
activo,Base 21.4,10.21.14.10,68:72:51:04:E3:EC,Sectorial Ubiquiti,Infiernos,,
activo,Los infiernos - Arteco RocketAC,10.255.14.37,04:18:D6:4E:90:D3,PTP Ubiquiti 5AC,Infiernos,,
activo,Villar Alto - Los Infiernos,10.255.22.50,DC:9F:DB:02:68:CE,PTP Ubiquiti 30d,Villaralto,,
activo,La Hita - Corvera,10.255.6.242,04:18:D6:A4:55:65,PTP Ubiquiti 5AC,La Hita,,
activo,Corvera - La Hita,10.255.6.243,04:18:D6:A4:55:BE,PTP Ubiquiti 5AC,Corvera,,Luismi - Antes tenía la 169.254.2.31
activo,Switch Corvera,10.255.6.245,DC:9F:DB:29:57:BE,Sw Ubiquiti 8,Corvera,,
activo,Base 3.1,10.6.31.10,DC:9F:DB:36:4D:52,Sectorial Ubiquiti,Corvera,,Orientado 120º direccón N
activo,Base 3.2,10.6.32.10,DC:9F:DB:36:4E:C8,Sectorial Ubiquiti,Corvera,,Orientado 120º direccion SE
activo,Base 3.3,10.6.33.10,DC:9F:DB:36:4D:5B,Sectorial Ubiquiti,Corvera,,Orientado 120º dirección SO
activo,Corvera - Fuente Alamo,10.255.6.244,04:18:D6:AE:CA:EE,PTP Ubiquiti 5AC,Corvera,,
activo,Fuente Alamo - Corvera,10.255.6.247,04:18:D6:A4:54:D8,PTP Ubiquiti 5AC,F. Alamo,,
activo,SW 1 Fuente Alamo Ferreteria,10.33.10.11,DC:9F:DB:28:AB:D5,Sw Ubiquiti 8,F. Alamo,,"Telefono Manolo? 630.862.729, Oficina ferreteria 968.596.000, Telefono Manolo 626.160.273"
activo,Base 3.4,10.33.11.10,DC:9F:DB:6A:25:57,Sectorial Ubiquiti,F. Alamo,,Orientado 120º dirección N
activo,Circuito - B.Aires,10.255.5.18,24:A4:3C:8C:FE:5D,PTP Ubiquiti 30d,Circuito,,
activo,La Vaguada - Calvario,10.255.4.77,04:18:D6:CA:0A:63,PTP Ubiquiti 5AC,Vaguada,,
activo,Switch La Vaguada,10.59.10.11,04:18:D6:07:20:E4,Sw Ubiquiti 8,Vaguada,,Telefono dueño casa: Jose Mtz Sánchez:679409718
activo,Base 5.9,10.59.37.10,DC:9F:DB:0A:0A:E1,Omni Ubiquiti,Vaguada,,Orientado 360º N
activo,Base 1.1,10.1.1.10,DC:9F:DB:58:99:B8,Sectorial Ubiquiti,Central ...,,
desconocido,Base 1.2 EZ desmontada,10.1.2.10,BreezeCom:C4:EA:3B,Sectorial alvarion EZ,Central ...,,
desconocido,Base 1.3 EZ desmontada,10.1.3.10,04:18:D6:AE:AC:4E,Sectorial alvarion EZ,Central ...,,
desconocido,Base 1.4,10.1.4.10,04:18:D6:AE:A6:CE,Sectorial alvarion EZ,Central ...,,
activo,Base 1.5,10.1.5.10,68:72:51:04:E5:68,Sectorial Ubiquiti,Central ...,,
activo,Base 1.6,10.1.6.10,00:27:22:80:20:71,Sectorial Ubiquiti,Central ...,,
activo,MKT y PTP La Tercia - La Hortichuela,10.255.255.18,4C:5E:0C:B8:EE:E1,SXT mikrotik,La Tercia,,
activo,SW1 La Tercia,10.18.10.11,24:A4:3C:3D:AC:6A,Sw Ubiquiti 8,La Tercia,,"Contacto finca E.Base - 634 367 295, EB Casablanca 634367295 CC 13058, ingles"
activo,Base 18.1,10.18.11.10,24:A4:3C:F4:06:58,Omni Ubiquiti,La Tercia,,
activo,Base 18.2 TT,10.18.12.10,04:18:D6:84:B3:F6,Sectorial Titanium,La Tercia,,
activo,Base 18.3,10.18.14.10,DC:9F:DB:58:96:BB,Sectorial Ubiquiti,La Tercia,,
activo,Base 2.6,10.2.14.10,DC:9F:DB:02:68:C8,Sectorial Ubiquiti,Sancty,,
activo,Cabecera 1,169.254.201.241,00:9C:02:A8:4B:23,MikroTik Device,CPD,,
activo,Cabecera 2,169.254.201.242,00:9C:02:A8:45:A3,MikroTik Device,CPD,,
activo,Switch1 Taxis,10.19.20.254,04:18:D6:06:15:69,Sw Ubiquiti 8,Beaza,,"Cod. Cliente, E.B."
activo,Base 19 1,10.19.11.10,00:27:22:80:26:78,Sectorial Ubiquiti,Beaza,,Orientada hacia La Union
activo,Radius 1,169.254.201.245,A0:B3:CC:E2:53:7B,,CPD,,
activo,PPPoE1,"169.254.201.249, 10.2.0.1",00:9C:02:A8:22:52,MikroTik Device,CPD,,
desconocido,PPPoE 2,169.254.201.250,AC:22:0B:83:F1:10,MikroTik Device,CPD,,
activo,Switch CPD Abajo,169.254.0.2,90:F6:52:26:31:7B,Switch,CPD,,
activo,Base 4. 3,10.4.13.10,DC:9F:DB:0A:0A:D9,Sectorial Ubiquiti,Calvario..,,
activo,Base 4. 4,10.4.14.10,DC:9F:DB:58:99:D6,Sectorial Ubiquiti,Calvario..,,
activo,Base 1 7,10.1.7.10,DC:9F:DB:58:97:C3,Sectorial Ubiquiti,Central ...,,
activo,Central - C25,10.25.1.3,04:18:D6:A4:3F:E7,PTP Ubiquiti 5AC,Central ...,,
activo,C25 - Central,10.25.1.4,04:18:D6:A4:4A:6B,PTP Ubiquiti 5AC,Central ...,,
activo,Base 25 1,10.25.11.10,24:A4:3C:9E:EF:F0,Omni Ubiquiti,Central ...,,
activo,Mares 3 - Urrutias,10.255.15.42,DC:9F:DB:6A:24:CD,PTP Ubiquiti 30d,Cristal,,SSID - 23jul2013
activo,Base 16 9,10.15.28.10,DC:9F:DB:68:AC:3B,Sectorial Ubiquiti,Cristal,,
activo,Base 16 8,10.15.29.10,DC:9F:DB:0A:0A:FE,Sectorial Ubiquiti,Cristal,,
activo,Urrutias-Mares 3,10.255.15.43,DC:9F:DB:0A:0D:5C,PTP Ubiquiti 30d,Urrutias,,
activo,Base 3.5,10.33.12.10,00:27:22:C2:A1:E6,Sectorial Ubiquiti,F. Alamo,,Orientado 120º SE
activo,Base 3.6,10.33.13.10,DC:9F:DB:68:B4:B6,Sectorial Ubiquiti,F. Alamo,,Orientado 120º dirección SW
activo,Base 7.1 CPalos,10.7.21.10,00:27:22:C2:A0:95,Omni Ubiquiti,Arcosur,,
desconocido,Base 7.11 AVERIADA T. 26928,10.7.25.10,DC:9F:DB:0A:0A:E9,Omni Ubiquiti,Arcosur,,
activo,C7 - VillasCentro,10.7.31.15,DC:9F:DB:7E:43:B3,PTP Ubiquiti 30d,Arcosur,,
activo,C7 - Pedruchi,10.255.7.77,04:18:D6:AE:AB:C3,PTP Ubiquiti 30d,Arcosur,,
activo,C7 - Nautic,10.255.7.22,04:18:D6:A4:55:5A,PTP Ubiquiti 5AC,Arcosur,,
activo,Base1.9,10.0.222.57,DC:9F:DB:58:9D:4C,Omni Ubiquiti,Central ...,,
activo,Base 1.8,10.1.8.10,DC:9F:DB:04:0C:B4,Sectorial Ubiquiti,Central ...,,
activo,Base 23.2,10.121.11.10,DC:9F:DB:68:AE:7E,Omni Ubiquiti,Nautico,,
activo,Pesetos - 12189 DVM,10.101.17.11,04:18:D6:2E:E2:4F,NanoBridge M5 este,Pesetos,,
activo,Base 24.1,10.22.29.10,00:27:22:9E:99:A7,Omni Ubiquiti,Alcazares,,
activo,Pacheco 2,10.6.39.12,24:A4:3C:3C:FB:DB,Sw Ubiquiti 8,La Hita,,
activo,Pacheco 1,10.6.39.11,DC:9F:DB:80:BE:9E,Sw Ubiquiti 8,La Hita,,
activo,Pacheco 3,10.255.6.38,24:A4:3C:3C:FB:0A,Sw Ubiquiti 8,La Hita,,
activo,Circuito - Palmero,10.255.50.29,02:27:22:DA:BA:EB,airFiber,Circuito,,
activo,SW 1 Arcosur,10.255.7.50,DC:9F:DB:28:AD:D7,Sw Ubiquiti 8,Arcosur,,"968.981.548  Telefono oficina, 690.260.269 Movil 24 horas encargado"
activo,SW 3 Arcosur,10.255.7.35,24:A4:3C:B3:C7:14,Sw Ubiquiti 8,Arcosur,,
activo,Jaime - Villaralto,10.255.22.67,00:27:22:D2:B4:49,PTP Ubiquiti 30d,Alcazares,,
activo,SW 1 sancti,10.255.2.99,DC:9F:DB:29:B8:B5,Sw Ubiquiti 8,Sancty,,"Portman Gol Cantera ,,,,,,,,,,,,  968.560.000"
activo,Pesetos - Bionet,10.101.16.11,04:18:D6:40:DF:D9,NanoBridge M5 este,Pesetos,,
activo,Poblado - Vaguada,10.255.59.3,04:18:D6:2E:D8:75,,Vaguada,,
activo,Base 59.1 OMNI POBLADO,10.59.34.10,DC:9F:DB:68:AC:38,Omni Ubiquiti,Vaguada,,"Poblado Naval, Orientado 360º S"
activo,Ptp FA - Fa Central,10.33.20.5,24:A4:3C:0A:2D:58,NanoBridge M5 oeste,F. Alamo,,
activo,SW 1  FA centro 1,10.33.20.4,DC:9F:DB:29:5E:52,Sw Ubiquiti 5,F. Alamo,,
activo,Base 3.7,10.33.20.10,DC:9F:DB:6A:24:58,Omni Ubiquiti,F. Alamo,,Centro Pueblo
activo,Base 23.3,10.121.12.10,DC:9F:DB:6A:24:B4,Sectorial Ubiquiti,Nautico,,
activo,ENA - Calvario,10.255.4.82,04:18:D6:2E:EA:51,,Calvario..,,
activo,Base 43.1 ENA,10.4.31.10,DC:9F:DB:90:EB:BC,Sectorial Ubiquiti,Calvario..,,
activo,Base 4.5,10.4.15.10,DC:9F:DB:02:68:82,Sectorial Ubiquiti,Calvario..,,
activo,Base 103 0,10.103.11.10,DC:9F:DB:68:B7:AE,Omni Ubiquiti,La Aljorra,,
activo,Base 8.5,10.8.15.10,DC:9F:DB:68:B9:18,Sectorial Ubiquiti,Valero,,Switch2 Puerto6
activo,Base 15.6,10.15.37.10,DC:9F:DB:6A:25:7F,Omni Ubiquiti,Urrutias,,"Antena Omni, Titular Justo: 629.959.597"
activo,Valero - Ingles,10.255.8.13,04:18:D6:A4:54:FC,PTP Ubiquiti 5AC,Valero,,Switch 1 Puerto 5
activo,PtP Jumasa,10.4.23.11,DC:9F:DB:F2:0D:EC,PTP Ubiquiti 30d,Calvario..,,
activo,Jumasa,10.4.23.12,DC:9F:DB:F6:8D:E0,,Calvario..,,
activo,Urrutias - El Beal,10.255.15.98,24:A4:3C:9A:B5:85,PTP Ubiquiti 30d,Urrutias,,
activo,Hortichuela,10.13.10.11,24:A4:3C:3C:91:F1,Sw Ubiquiti 8,Hortich,,
activo,C7 - VillasRest,10.255.7.45,04:18:D6:A4:55:63,PTP Ubiquiti 5AC,Arcosur,,
activo,Base 2.7,10.2.15.10,24:A4:3C:46:8B:75,Sectorial Ubiquiti,Sancty,,
activo,13339  SW1  Nautico1,10.121.20.11,24:A4:3C:3C:FB:41,Sw Ubiquiti 5,Nautico,,Portero Pedro 659.243.116  Libra los Martes
activo,Nautico - Arcosur,10.255.7.21,04:18:D6:A4:25:DB,PTP Ubiquiti 5AC,Nautico,,
activo,Dslam sino 24,10.16.0.9,"Matrics,In:28:24:7C",Inyector DSLAM,Cristal,,
activo,Navarro - Polidportivo,10.255.17.11,04:18:D6:AE:AC:2C,PTP Ubiquiti 30d,Navarro,,IP: 172.17.1.241
activo,Circuito - Bohio,10.255.5.90,04:18:D6:24:B8:90,NanoBridge M5 este,Circuito,,
activo,Base 5 8,10.5.28.10,DC:9F:DB:58:99:7E,Omni Ubiquiti,Bohio,,
activo,SW 1  Bohio,10.255.5.92,DC:9F:DB:29:5E:4E,Sw Ubiquiti 5,Bohio,,
activo,Bohio - Circuito,10.255.5.91,DC:9F:DB:4C:6B:48,NanoBridge M5 oeste,Bohio,,
activo,SW 1  Mares 3,10.255.15.45,DC:9F:DB:28:7B:3E,Sw Ubiquiti 5,Cristal,,"Maria Presidenta 616.004.825, clave puerta 1373, administradora Hida Lopez 968142002, codigo de cliente 12724, Armario de Dslam, en escalera 6"
desconocido,R.Check Mares 3 FALTA SAI,10.255.15.46,00:23:CD:D9:EB:73,Fallo red,Cristal,,
activo,SW Algar Centro,10.255.32.110,04:18:D6:07:24:E6,Sw Ubiquiti 5,Algar,,"Jose Angel Martinez Rosique Movil: 639.486.279    Fijo: 968.136.406, Cliente 4752"
activo,Los Urrutias  - El Algar,10.255.15.19,04:18:D6:A4:27:A4,PTP Ubiquiti 5AC,Urrutias,,"Está apagada, lista para enlazar y dar caudal."
activo,Algar Centro - algar Torre,10.255.150.6,04:18:D6:F8:CE:A0,PTP Ubiquiti 5AC,Algar,,
activo,Base 15.5,10.32.15.10,DC:9F:DB:6A:24:5B,Omni Ubiquiti,Algar,,
activo,Calvario - ENA,10.255.4.83,04:18:D6:38:E5:65,,Calvario..,,
activo,CLU30SECT1,10.32.11.10,24:A4:3C:46:D5:76,Sectorial Ubiquiti,Algar,,
activo,CLU30SECT2,10.32.12.10,24:A4:3C:46:8C:AE,Sectorial Ubiquiti,Algar,,
activo,Base 11.9,10.119.11.10,DC:9F:DB:58:9D:77,Omni Ubiquiti,Pozo E.,,
activo,Switch Ingles,10.119.10.2,24:A4:3C:3D:AC:93,Sw Ubiquiti 5,Pozo E.,,
activo,Ingles - Valero,10.255.8.14,04:18:D6:A4:4A:7B,PTP Ubiquiti 5AC,Pozo E.,,
activo,Pesetos - Comyr,10.255.10.4,02:27:22:DA:B7:4B,airFiber,Pesetos,,
activo,Alfonso - Comyr,10.255.10.20,DC:9F:DB:6A:B8:46,PTP Ubiquiti 30d,Pozo E.,,
activo,Base 40 11,10.226.11.10,24:A4:3C:46:8A:40,Omni Ubiquiti,Higuerica,,
activo,Switch Base 13367,10.226.10.11,DC:9F:DB:29:5A:C9,Sw Ubiquiti 8,Higuerica,,Presidente  Eduardo 627349175
